dteday,counts,casual,weather,registered,season,weekday,windspeed,temp,atemp,hum,high_casual
2011-01-01,985,331,3,654,1,6,0.1604458333333333,0.34416666666666673,0.36362500000000003,0.8058333333333335,1
2011-01-02,801,131,3,670,1,0,0.24853913043478262,0.36347826086956525,0.35373913043478267,0.6960869565217392,0
2011-01-03,1349,120,1,1229,1,1,0.2483090909090908,0.19636363636363632,0.18940454545454546,0.43727272727272726,0
2011-01-04,1562,108,2,1454,1,2,0.160295652173913,0.19999999999999998,0.21212173913043478,0.5904347826086958,0
2011-01-05,1600,82,1,1518,1,3,0.1869,0.22695652173913042,0.2292695652173913,0.4369565217391305,0
2011-01-06,1606,88,2,1518,1,4,0.08956521739130435,0.20434782608695654,0.23320869565217398,0.5182608695652174,0
2011-01-07,1510,148,3,1362,1,5,0.16872608695652172,0.19652173913043483,0.2088391304347826,0.4986956521739131,0
2011-01-08,959,68,3,891,1,6,0.2668041666666667,0.16500000000000006,0.16225416666666667,0.5358333333333333,0
2011-01-09,822,54,1,768,1,0,0.36195000000000005,0.1383333333333334,0.11617500000000003,0.4341666666666668,0
2011-01-10,1321,41,2,1280,1,1,0.2232666666666666,0.1508333333333334,0.1508875,0.4829166666666667,0
2011-01-11,1263,43,3,1220,1,2,0.12213181818181815,0.16909090909090915,0.19146363636363636,0.6863636363636362,0
2011-01-12,1162,25,2,1137,1,3,0.3046272727272728,0.17272727272727278,0.1604727272727273,0.5995454545454547,0
2011-01-13,1406,38,2,1368,1,4,0.301,0.16500000000000006,0.15088333333333334,0.47041666666666687,0
2011-01-14,1421,54,2,1367,1,5,0.12654782608695653,0.16086956521739135,0.18841304347826088,0.5378260869565218,0
2011-01-15,1248,222,2,1026,1,6,0.15796249999999995,0.2333333333333333,0.24811249999999999,0.49874999999999997,1
2011-01-16,1204,251,2,953,1,0,0.1884333333333333,0.2316666666666667,0.2342166666666667,0.4837500000000001,1
2011-01-17,1000,117,3,883,1,1,0.19401666666666664,0.1758333333333334,0.17677083333333332,0.5375,0
2011-01-18,683,9,2,674,1,2,0.14677500000000002,0.2166666666666667,0.23233333333333336,0.8616666666666667,0
2011-01-19,1650,78,3,1572,1,3,0.20831739130434784,0.2921739130434783,0.2984217391304348,0.7417391304347823,0
2011-01-20,1927,83,2,1844,1,4,0.19590416666666666,0.26166666666666666,0.25505,0.5383333333333334,0
2011-01-21,1543,75,3,1468,1,5,0.3532416666666667,0.17750000000000002,0.15783333333333335,0.45708333333333345,0
2011-01-22,981,93,2,888,1,6,0.1719695652173913,0.0591304347826087,0.07906956521739131,0.39999999999999997,0
2011-01-23,986,150,2,836,1,0,0.24660000000000004,0.0965217391304348,0.09883913043478262,0.43652173913043485,0
2011-01-24,1416,86,2,1330,1,1,0.15833043478260866,0.09739130434782611,0.11793043478260871,0.49173913043478273,0
2011-01-25,1985,186,2,1799,1,2,0.12979565217391303,0.22347826086956515,0.23452608695652166,0.6169565217391305,0
2011-01-26,506,34,4,472,1,3,0.29385000000000006,0.21750000000000005,0.2036,0.8624999999999998,0
2011-01-27,431,15,1,416,1,4,0.11383750000000001,0.19499999999999998,0.2197,0.6875,0
2011-01-28,1167,38,3,1129,1,5,0.12330000000000002,0.20347826086956528,0.2233173913043478,0.7930434782608696,0
2011-01-29,1098,123,2,975,1,6,0.1453652173913043,0.1965217391304348,0.2121260869565218,0.6517391304347825,0
2011-01-30,1096,140,2,956,1,0,0.07398260869565217,0.21652173913043476,0.25032173913043476,0.7221739130434782,0
2011-01-31,1501,42,3,1459,1,1,0.18719166666666665,0.18083333333333337,0.18625000000000003,0.60375,0
2011-02-01,1360,47,3,1313,1,2,0.053213043478260856,0.1921739130434783,0.23453043478260868,0.8295652173913044,0
2011-02-02,1526,72,3,1454,1,3,0.2643083333333333,0.26,0.2544166666666667,0.7754166666666666,0
2011-02-03,1550,61,1,1489,1,4,0.27775217391304347,0.1869565217391305,0.1778782608695652,0.4378260869565219,0
2011-02-04,1708,88,2,1620,1,5,0.12783913043478262,0.211304347826087,0.2285869565217391,0.5852173913043478,0
2011-02-05,1005,100,3,905,1,6,0.16107916666666666,0.23333333333333336,0.24305833333333335,0.9291666666666667,0
2011-02-06,1623,354,1,1269,1,0,0.14179999999999995,0.28583333333333333,0.2916708333333332,0.5683333333333335,1
2011-02-07,1712,120,2,1592,1,1,0.04540833333333333,0.27166666666666667,0.30365833333333336,0.7383333333333332,0
2011-02-08,1530,64,3,1466,1,2,0.36195,0.2208333333333334,0.19824583333333332,0.5379166666666667,0
2011-02-09,1605,53,3,1552,1,3,0.18883913043478256,0.1347826086956522,0.14428260869565218,0.4947826086956522,0
2011-02-10,1538,47,3,1491,1,4,0.22193478260869562,0.14434782608695657,0.14954782608695652,0.437391304347826,0
2011-02-11,1746,149,1,1597,1,5,0.10855000000000001,0.1890909090909091,0.2135090909090909,0.5063636363636363,0
2011-02-12,1472,288,1,1184,1,6,0.20336666666666667,0.22249999999999995,0.23295416666666666,0.5441666666666667,1
2011-02-13,1589,397,2,1192,1,0,0.26088260869565216,0.31652173913043485,0.324113043478261,0.45739130434782593,1
2011-02-14,1913,208,1,1705,1,1,0.4179083333333333,0.415,0.39835,0.3758333333333334,0
2011-02-15,1815,140,2,1675,1,2,0.29137391304347826,0.26608695652173914,0.25427391304347824,0.31434782608695655,0
2011-02-16,2115,218,2,1897,1,3,0.2517913043478261,0.3182608695652174,0.31620000000000004,0.42347826086956525,0
2011-02-17,2475,259,2,2216,1,4,0.23010416666666664,0.43583333333333335,0.4286583333333333,0.505,0
2011-02-18,2927,579,2,2348,1,5,0.264925,0.5216666666666666,0.5119833333333333,0.5166666666666665,1
2011-02-19,1635,532,1,1103,1,6,0.5074625,0.3991666666666667,0.3914041666666667,0.18791666666666665,1
2011-02-20,1812,639,2,1173,1,0,0.2232347826086956,0.28521739130434776,0.27733043478260866,0.40782608695652167,1
2011-02-21,1107,195,3,912,1,1,0.3078458333333333,0.3033333333333334,0.284075,0.6049999999999999,1
2011-02-22,1450,74,2,1376,1,2,0.19568333333333332,0.18222222222222229,0.18603333333333336,0.577777777777778,0
2011-02-23,1917,139,1,1778,1,3,0.09411304347826085,0.2217391304347826,0.2457173913043478,0.4230434782608697,0
2011-02-24,1807,100,3,1707,1,4,0.25049565217391306,0.29565217391304344,0.2891913043478261,0.6973913043478259,0
2011-02-25,1461,120,3,1341,1,5,0.34653913043478257,0.36434782608695654,0.3504608695652173,0.7121739130434782,0
2011-02-26,1969,424,2,1545,1,6,0.18657083333333332,0.28250000000000003,0.28219166666666673,0.5379166666666667,1
2011-02-27,2402,694,2,1708,1,0,0.12524782608695653,0.3434782608695653,0.351108695652174,0.6799999999999998,1
2011-02-28,1446,81,3,1365,1,1,0.2896863636363637,0.4072727272727273,0.4001181818181819,0.8763636363636362,0
2011-03-01,1851,137,1,1714,1,2,0.21642499999999995,0.26666666666666666,0.2638791666666666,0.5349999999999999,0
2011-03-02,2134,231,1,1903,1,3,0.30783333333333335,0.335,0.32007083333333336,0.4495833333333333,0
2011-03-03,1685,123,2,1562,1,4,0.22575416666666662,0.19833333333333336,0.20013333333333336,0.3183333333333334,0
2011-03-04,1944,214,2,1730,1,5,0.20334583333333334,0.2616666666666666,0.2556791666666666,0.6104166666666666,0
2011-03-05,2077,640,2,1437,1,6,0.2518708333333333,0.3841666666666666,0.3787791666666667,0.7891666666666666,1
2011-03-06,605,114,3,491,1,0,0.3432869565217392,0.37652173913043485,0.3662521739130435,0.9482608695652174,1
2011-03-07,1872,244,3,1628,1,1,0.34135217391304346,0.26173913043478253,0.23846086956521742,0.551304347826087,0
2011-03-08,2133,316,2,1817,1,2,0.12064999999999998,0.2925,0.3024,0.42083333333333334,0
2011-03-09,1891,191,3,1700,1,3,0.22015000000000004,0.29583333333333334,0.28660833333333335,0.7754166666666666,0
2011-03-10,623,46,3,577,1,4,0.2618772727272727,0.3890909090909092,0.3856681818181818,0.0,0
2011-03-11,1977,247,3,1730,1,5,0.23296956521739134,0.31652173913043474,0.30499999999999994,0.6495652173913044,0
2011-03-12,2132,724,1,1408,1,6,0.22077499999999997,0.32916666666666666,0.32575000000000004,0.5945833333333334,1
2011-03-13,2417,982,1,1435,1,0,0.270604347826087,0.3843478260869566,0.3800913043478262,0.5273913043478262,1
2011-03-14,2046,359,2,1687,1,1,0.13692608695652173,0.32521739130434785,0.332,0.4969565217391305,1
2011-03-15,2056,289,3,1767,1,2,0.1843086956521739,0.31739130434782614,0.31817826086956524,0.6556521739130435,0
2011-03-16,2192,321,3,1871,1,3,0.20311739130434778,0.36521739130434794,0.3669304347826087,0.7765217391304347,0
2011-03-17,2744,424,2,2320,1,4,0.20957916666666665,0.415,0.41033333333333344,0.6029166666666665,0
2011-03-18,3239,884,2,2355,1,5,0.2310173913043478,0.5399999999999998,0.5270086956521739,0.5252173913043479,1
2011-03-19,3117,1424,2,1693,1,6,0.36816666666666675,0.4725000000000001,0.46652500000000013,0.3791666666666666,1
2011-03-20,2471,1047,3,1424,1,0,0.20772083333333333,0.3325,0.32575000000000004,0.4737499999999999,1
2011-03-21,2077,401,3,1676,2,1,0.28878260869565225,0.4304347826086957,0.40973478260869556,0.7373913043478261,1
2011-03-22,2703,460,2,2243,2,2,0.22575000000000003,0.44166666666666665,0.44064166666666665,0.6245833333333333,1
2011-03-23,2121,203,3,1918,2,3,0.23426086956521738,0.3469565217391305,0.3379391304347827,0.8395652173913042,0
2011-03-24,1865,166,3,1699,2,4,0.24378749999999996,0.2849999999999999,0.2708333333333333,0.8058333333333328,0
2011-03-25,2210,300,2,1910,2,5,0.23072499999999999,0.2641666666666666,0.25631249999999994,0.4950000000000001,0
2011-03-26,2496,981,2,1515,2,6,0.20957083333333335,0.26583333333333337,0.25757083333333336,0.3941666666666667,1
2011-03-27,1693,472,3,1221,2,0,0.1843,0.2530434782608695,0.25033913043478256,0.49391304347826087,1
2011-03-28,2028,222,2,1806,2,1,0.21220434782608688,0.2643478260869565,0.25757391304347826,0.30217391304347824,0
2011-03-29,2425,317,2,2108,2,2,0.22699583333333337,0.30250000000000005,0.2929083333333333,0.31416666666666676,0
2011-03-30,1536,168,3,1368,2,3,0.17288749999999997,0.30000000000000004,0.29735000000000006,0.6466666666666666,0
2011-03-31,1685,179,3,1506,2,4,0.2176458333333333,0.2683333333333333,0.257575,0.9183333333333331,0
2011-04-01,2227,307,3,1920,2,5,0.2587083333333334,0.3,0.2834541666666667,0.6862500000000001,0
2011-04-02,2252,898,3,1354,2,6,0.19714583333333335,0.315,0.31563750000000007,0.6537499999999999,1
2011-04-03,3249,1651,3,1598,2,0,0.18221249999999997,0.37833333333333335,0.37876666666666675,0.48,1
2011-04-04,3115,734,2,2381,2,1,0.38557083333333336,0.5733333333333333,0.5429291666666667,0.4262500000000002,1
2011-04-05,1795,167,3,1628,2,2,0.3880666666666666,0.41416666666666674,0.39835000000000004,0.6420833333333336,0
2011-04-06,2808,413,1,2395,2,3,0.26306250000000003,0.39083333333333337,0.3876083333333333,0.4708333333333334,0
2011-04-07,3141,571,2,2570,2,4,0.16231249999999994,0.4375,0.43369583333333334,0.6029166666666667,1
2011-04-08,1471,172,3,1299,2,5,0.22699166666666662,0.3358333333333334,0.3244791666666667,0.8362499999999998,0
2011-04-09,2455,879,3,1576,2,6,0.13308333333333333,0.3425,0.34152916666666666,0.8775,1
2011-04-10,2895,1188,2,1707,2,0,0.14676666666666668,0.4266666666666667,0.42673749999999994,0.8574999999999999,1
2011-04-11,3348,855,3,2493,2,1,0.3244739130434783,0.5956521739130435,0.5652173913043478,0.7169565217391305,1
2011-04-12,2034,257,3,1777,2,2,0.2748791666666666,0.5025000000000001,0.4930541666666668,0.7391666666666667,0
2011-04-13,2162,209,3,1953,2,3,0.25061666666666665,0.41250000000000003,0.41728333333333345,0.8191666666666668,0
2011-04-14,3267,529,1,2738,2,4,0.11069999999999997,0.4675000000000001,0.4627416666666666,0.5404166666666667,0
2011-04-15,3126,642,2,2484,2,5,0.226375,0.4466666666666667,0.4419125000000001,0.67125,1
2011-04-16,795,121,3,674,2,6,0.3408083333333333,0.4308333333333332,0.42549166666666666,0.8883333333333336,0
2011-04-17,3744,1558,2,2186,2,0,0.3034958333333333,0.4566666666666667,0.44569583333333335,0.4795833333333335,1
2011-04-18,3429,669,2,2760,2,1,0.16356666666666667,0.5125000000000001,0.5031458333333334,0.5425000000000001,1
2011-04-19,3204,409,3,2795,2,2,0.1579708333333333,0.5058333333333334,0.48925833333333335,0.6658333333333334,0
2011-04-20,3944,613,2,3331,2,3,0.24192500000000003,0.5949999999999999,0.5643916666666667,0.6141666666666665,0
2011-04-21,4189,745,2,3444,2,4,0.3252583333333333,0.45916666666666667,0.45389166666666675,0.40708333333333346,1
2011-04-22,1683,177,3,1506,2,5,0.21952083333333336,0.33666666666666667,0.3219541666666667,0.7295833333333333,0
2011-04-23,4036,1462,3,2574,2,6,0.23072500000000004,0.45999999999999996,0.45012083333333336,0.8879166666666666,1
2011-04-24,4191,1710,3,2481,2,0,0.19217499999999998,0.5816666666666666,0.5517625,0.8108333333333334,1
2011-04-25,4073,773,3,3300,2,1,0.18533333333333332,0.6066666666666666,0.5745,0.7766666666666668,1
2011-04-26,4400,678,2,3722,2,2,0.3265,0.6316666666666666,0.5940833333333334,0.7291666666666665,0
2011-04-27,3872,547,3,3325,2,3,0.3121999999999999,0.6199999999999998,0.5751416666666667,0.8354166666666664,0
2011-04-28,4058,569,3,3489,2,4,0.3209083333333333,0.6174999999999998,0.5789291666666666,0.7008333333333335,0
2011-04-29,4595,878,2,3717,2,5,0.24006249999999996,0.5100000000000001,0.4974625,0.45708333333333345,1
2011-04-30,5312,1965,2,3347,2,6,0.2350749999999999,0.47249999999999986,0.46402083333333327,0.5033333333333332,1
2011-05-01,3351,1138,2,2213,2,0,0.10635416666666665,0.4516666666666669,0.4482041666666665,0.7620833333333334,1
2011-05-02,4401,847,2,3554,2,1,0.1834541666666666,0.5491666666666667,0.5328333333333332,0.7299999999999999,1
2011-05-03,4451,603,2,3848,2,2,0.3426666666666667,0.6166666666666666,0.5820791666666668,0.6970833333333334,0
2011-05-04,2633,255,3,2378,2,3,0.3289958333333334,0.41416666666666674,0.40465,0.7370833333333332,0
2011-05-05,4433,614,1,3819,2,4,0.29539166666666666,0.4591666666666668,0.44191666666666657,0.44416666666666665,0
2011-05-06,4608,894,3,3714,2,5,0.22824583333333334,0.4791666666666666,0.4741166666666666,0.5900000000000002,1
2011-05-07,4714,1612,3,3102,2,6,0.16044999999999998,0.52,0.5126208333333334,0.54125,1
2011-05-08,4333,1401,3,2932,2,0,0.0746375,0.5283333333333333,0.5189333333333334,0.6316666666666669,1
2011-05-09,4362,664,1,3698,2,1,0.17599999999999996,0.5324999999999999,0.5252458333333333,0.58875,0
2011-05-10,4803,694,2,4109,2,2,0.11567083333333333,0.5325000000000001,0.5227208333333334,0.4891666666666666,0
2011-05-11,4182,550,2,3632,2,3,0.12064166666666665,0.5425,0.5284,0.6329166666666667,0
2011-05-12,4864,695,2,4169,2,4,0.18966666666666662,0.535,0.5233625,0.7474999999999997,0
2011-05-13,4105,692,3,3413,2,5,0.17972500000000002,0.5124999999999998,0.49429999999999996,0.8633333333333332,1
2011-05-14,3409,902,3,2507,2,6,0.13495000000000001,0.5208333333333331,0.5006291666666667,0.9225,1
2011-05-15,4553,1582,3,2971,2,0,0.15297916666666664,0.5625000000000001,0.536,0.867083333333333,1
2011-05-16,3958,773,3,3185,2,1,0.1268708333333333,0.5775,0.5505125000000001,0.7879166666666665,1
2011-05-17,4123,678,3,3445,2,2,0.27735416666666673,0.5616666666666665,0.5385291666666666,0.8379166666666665,0
2011-05-18,3855,536,3,3319,2,3,0.2014916666666666,0.55,0.5271583333333334,0.8699999999999998,0
2011-05-19,4575,735,3,3840,2,4,0.1082125,0.5308333333333334,0.5107416666666668,0.8295833333333335,0
2011-05-20,4917,909,3,4008,2,5,0.1250125,0.5366666666666666,0.5290416666666667,0.7195833333333334,1
2011-05-21,5805,2258,2,3547,2,6,0.12065000000000002,0.6024999999999999,0.571975,0.6266666666666665,1
2011-05-22,4660,1576,3,3084,2,0,0.14800833333333333,0.6041666666666666,0.5745,0.7495833333333329,1
2011-05-23,4274,836,3,3438,2,1,0.2338416666666667,0.6316666666666667,0.5902958333333332,0.8099999999999999,1
2011-05-24,4492,659,3,3833,2,2,0.20709166666666665,0.6599999999999999,0.6048124999999999,0.7408333333333332,0
2011-05-25,4978,740,3,4238,2,3,0.1542333333333333,0.6608333333333334,0.6155416666666667,0.6962499999999999,0
2011-05-26,4677,758,2,3919,2,4,0.19964166666666663,0.7083333333333335,0.6546875000000001,0.6775000000000001,0
2011-05-27,4679,871,3,3808,2,5,0.24067916666666664,0.6816666666666665,0.6370083333333331,0.65375,1
2011-05-28,4758,2001,1,2757,2,6,0.2300916666666666,0.6558333333333334,0.6123791666666666,0.7295833333333334,1
2011-05-29,4788,2355,2,2433,2,0,0.21393749999999997,0.6675000000000001,0.6155499999999998,0.8187499999999998,1
2011-05-30,4098,1549,2,2549,2,1,0.131225,0.7333333333333333,0.6710916666666668,0.685,1
2011-05-31,3982,673,2,3309,2,2,0.11132916666666666,0.7749999999999999,0.7253833333333333,0.6366666666666666,1
2011-06-01,3974,513,3,3461,2,3,0.2070916666666666,0.7641666666666663,0.7209666666666664,0.6770833333333334,0
2011-06-02,4968,736,1,4232,2,4,0.2922875,0.7150000000000002,0.6439416666666667,0.305,0
2011-06-03,5312,898,2,4414,2,5,0.2531208333333333,0.62,0.5871333333333333,0.35416666666666674,1
2011-06-04,5342,1869,2,3473,2,6,0.12314166666666665,0.6350000000000001,0.5946958333333334,0.4562500000000001,1
2011-06-05,4906,1685,2,3221,2,0,0.13869166666666669,0.6483333333333333,0.6168041666666667,0.6525,1
2011-06-06,4548,673,1,3875,2,1,0.12189583333333333,0.6783333333333332,0.6218583333333334,0.5999999999999999,0
2011-06-07,4833,763,2,4070,2,2,0.18780833333333327,0.7075,0.6559499999999998,0.5979166666666668,0
2011-06-08,4401,676,1,3725,2,3,0.13681666666666667,0.7758333333333335,0.7272791666666666,0.6220833333333334,0
2011-06-09,3915,563,3,3352,2,4,0.14988333333333334,0.8083333333333332,0.7575791666666665,0.5683333333333334,0
2011-06-10,4586,815,3,3771,2,5,0.14055416666666667,0.7549999999999999,0.7032916666666668,0.605,1
2011-06-11,4966,1729,2,3237,2,6,0.15484999999999996,0.7250000000000001,0.6780375,0.6545833333333334,1
2011-06-12,4460,1467,3,2993,2,0,0.16356666666666667,0.6924999999999999,0.6433249999999999,0.7479166666666668,1
2011-06-13,5020,863,1,4157,2,1,0.30535000000000007,0.6349999999999999,0.6016541666666667,0.4945833333333334,1
2011-06-14,4891,727,3,4164,2,2,0.2692833333333333,0.6041666666666667,0.5915458333333333,0.5070833333333333,0
2011-06-15,5180,769,1,4411,2,3,0.16791250000000002,0.6266666666666666,0.5877541666666667,0.4716666666666666,0
2011-06-16,3767,545,3,3222,2,4,0.2064708333333333,0.6283333333333333,0.5953458333333331,0.6883333333333334,0
2011-06-17,4844,863,3,3981,2,5,0.14302916666666665,0.6491666666666666,0.600383333333333,0.7358333333333332,1
2011-06-18,5119,1807,2,3312,2,6,0.11940833333333334,0.6966666666666667,0.6439541666666665,0.6704166666666667,1
2011-06-19,4744,1639,3,3105,2,0,0.102,0.6991666666666667,0.6458458333333333,0.6666666666666666,1
2011-06-20,4010,699,3,3311,2,1,0.155475,0.6349999999999999,0.5953458333333334,0.74625,1
2011-06-21,4835,774,3,4061,3,2,0.17102499999999998,0.6808333333333333,0.6376458333333334,0.7704166666666664,0
2011-06-22,4507,661,2,3846,3,3,0.17226249999999999,0.7333333333333334,0.6938291666666666,0.7074999999999999,0
2011-06-23,4790,746,3,4044,3,4,0.23880416666666662,0.7283333333333334,0.6938333333333332,0.7033333333333331,0
2011-06-24,4991,969,2,4022,3,5,0.22202499999999994,0.7241666666666667,0.6565833333333334,0.5733333333333333,1
2011-06-25,5202,1782,2,3420,3,6,0.2095708333333333,0.695,0.6433125000000002,0.4833333333333334,1
2011-06-26,5305,1920,2,3385,3,0,0.09453333333333334,0.68,0.6376291666666668,0.5133333333333335,1
2011-06-27,4708,854,3,3854,3,1,0.10758749999999999,0.6825000000000001,0.6370041666666667,0.6583333333333333,1
2011-06-28,4648,732,3,3916,3,2,0.14428333333333332,0.7441666666666665,0.6925583333333333,0.6341666666666667,0
2011-06-29,5225,848,2,4377,3,3,0.26182083333333334,0.7283333333333335,0.6546875,0.49791666666666673,0
2011-06-30,5515,1027,1,4488,3,4,0.1853125,0.6966666666666667,0.6370083333333335,0.4341666666666666,1
2011-07-01,5362,1246,1,4116,3,5,0.10260833333333334,0.7225000000000001,0.6521624999999999,0.39625,1
